gene,scores,log2FC,pvalue,padj,is_zinc
NDUFS5,3.7473643,0.39986864,0.00017870238518907333,0.010555545709767446,False
RPS9,3.73457,0.17047808,0.00018803608028384794,0.011018314645151945,False
LINC00116,3.732725,3.5040438,0.00018941950181597205,0.011061582893789024,False
ATP5G1,3.7250974,2.1874502,0.000195239768153212,0.01134993852197339,False
FAM215B,3.721161,2.7107959,0.00019830912636980647,0.01150237647516776,False
MRPL57,3.699878,0.6706651,0.00021570312020176174,0.012399434780044958,False
CISH,3.6899133,1.270876,0.00022433052827636746,0.01279968122677687,False
GSTK1,3.6735513,0.3392079,0.00023920255816610274,0.013493961855843917,False
RPL6,3.649193,0.14826328,0.0002630653383682438,0.014647386935464725,False
RPL19,3.614255,0.15851487,0.00030121260237112057,0.01650160376109599,False
CH17-189H20.1,3.6101952,2.6047359,0.00030596666930832086,0.016708708632577608,False
NACA,3.5958016,0.124697216,0.00032339414575210327,0.01749524922255963,False
CD69,3.5536053,0.6820523,0.0003799891814775681,0.020071543540716556,False
MZT2B,3.552006,0.64876324,0.0003823062583742689,0.020152553668892813,False
ZNRD1,3.5438864,4.1505394,0.0003942749589330113,0.020572675544812943,False
SEPT1,3.5398269,2.1619952,0.00040038975130642996,0.02084944526843442,False
ITGB1,3.5217426,0.5570627,0.0004287202278050449,0.022078877157271224,False
C10orf54,3.5111628,2.4676375,0.00044615122754160046,0.022884933553898562,False
INSIG1,3.4690893,1.4475323,0.0005222258684188067,0.025958914471894457,False
CD3G,3.461339,0.54831827,0.0005374956743006574,0.026615088981155173,False
EIF3E,3.4353814,0.238236,0.0005917205413499422,0.028801171628544772,False
PCSK7,3.409916,0.7929143,0.000649829283027723,0.031303761192144466,False
SERP1,3.4038877,0.2605723,0.0006643404124664726,0.03191315176524284,False
GPR171,3.399582,1.6428314,0.0006748893546296158,0.032239282745575186,False
MGEA5,3.3979828,2.4357111,0.0006788470393012269,0.032398258328357625,False
RPL8,3.3947842,0.14140393,0.0006868272136839043,0.03274873632030538,False
C7orf73,3.394046,1.7284428,0.0006886811335945348,0.03275996942010537,False
LINC01420,3.3714101,1.9595737,0.0007478445686492101,0.0351363943747105,False
SMDT1,3.3575087,0.3028558,0.0007864829907471461,0.03648600262214533,False
PLP2,3.3570166,0.6066209,0.0007878840913466928,0.03651807273117536,False
NOP10,3.3507423,0.48533535,0.0008059523777698356,0.03725484090880728,False
CLEC2D,3.3348725,0.5401877,0.0008533848803302483,0.03923587607080484,False
HCST,3.28062,0.35879314,0.001035791845384189,0.046018496426015326,False
RPL7A,3.2727466,0.15942594,0.0010650790563992568,0.04707576227974997,False
SELM,3.2707782,3.316488,0.0010725196082055134,0.04732331801282783,False
LYAR,3.2590911,0.6442872,0.0011176972317983695,0.048690336309536425,False
PTGER2,3.247035,0.9282888,0.0011661400973172465,0.05020550270023238,False
POLR2J3,3.2025013,0.98580134,0.0013623971666074668,0.05735892751851141,False
RASGEF1B,3.2001638,1.7857789,0.0013734949525630183,0.05768454556690789,False
VIMP,3.1981955,1.8983915,0.001382905061410018,0.05798508524810318,False
FAM65B,3.1749444,1.5546422,0.001498652294380734,0.062280018773263335,False
SIT1,3.1737142,0.56948155,0.0015050182989803692,0.062393377474570536,False
