gene,scores,log2FC,pvalue,padj,is_zinc
ARID4B,21.78254,0.8387155,3.3971561273349604e-105,1.07225084931981e-102,False
PLCL2,21.737734,1.5406873,9.024708339482334e-105,2.8311170405468726e-102,False
CREBBP,21.677479,1.4738735,3.347147489854253e-104,1.0373737593856723e-101,False
CDKAL1,21.649673,1.5249733,6.121177517760432e-104,1.8857625205613095e-101,False
ATM,21.576788,0.8208468,2.967784551028139e-103,9.088486879839029e-101,False
MGAT5,21.552643,1.767039,5.001008463310192e-103,1.5224371800022647e-100,False
SP100,21.51908,0.7408557,1.0319105632916021e-102,3.122925568248609e-100,False
ITPR1,21.474594,1.494085,2.6906549681167284e-102,8.095252444425114e-100,False
ANKHD1,21.425985,1.2838864,7.64986829485824e-102,2.2882001397317835e-99,False
HLA-DRB5,21.406893,0.9122686,1.1524441538221101e-101,3.4272223598751398e-99,False
USP3,21.284952,1.1841255,1.5650531470035463e-100,4.627520362473474e-98,False
ANKRD17,21.238256,1.4277198,4.2331553392951106e-100,1.2444992908345991e-97,False
COG5,21.119354,1.5591471,5.2810870917271216e-99,1.5350359813286834e-96,False
KANSL1,21.094992,1.2695901,8.84217755851414e-99,2.5556873653395255e-96,False
CDK13,21.059685,1.4054003,1.8641042661953476e-98,5.328024238178791e-96,False
ERC1,21.056082,1.6902122,2.0114131821611454e-98,5.717303060542906e-96,False
RBM6,20.830568,1.0367323,2.287337621253564e-96,6.395594887948552e-94,False
ITGA4,20.815601,0.9273534,3.125999125408022e-96,8.69331908129686e-94,False
FBXL17,20.774069,1.6805733,7.428953698807737e-96,2.0438759887500557e-93,False
FAM172A,20.75293,1.2598422,1.153437549624726e-95,3.156492290058133e-93,False
USP15,20.748827,0.83425534,1.2561994597649809e-95,3.419521153756018e-93,False
PIK3R5,20.721268,1.3468986,2.227469198839141e-95,5.999939023134876e-93,False
RAPGEF1,20.71738,1.5140783,2.4146730140596256e-95,6.470317563923938e-93,False
ITPR2,20.689655,1.5031474,4.2927518979193345e-95,1.1443186510059789e-92,False
SRPK2,20.645765,0.97403806,1.065607224743793e-94,2.8259464174545703e-92,False
RASA2,20.640696,1.136213,1.1834613974663525e-94,3.1223959988127646e-92,False
NIN,20.622936,1.2839887,1.7086895373087525e-94,4.4851356793602395e-92,False
NSD3,20.60215,1.109753,2.625278094807636e-94,6.821480172811276e-92,False
MARCHF1,20.548645,1.3407103,7.91423866413019e-94,2.046089199960653e-91,False
RB1,20.496922,1.1507627,2.29352030330453e-93,5.899851628220572e-91,False
SMYD3,20.455301,1.394402,5.3888185688441714e-93,1.3793230732830593e-90,False
BRAF,20.40837,1.552036,1.4091108494744441e-92,3.588907672463426e-90,False
MAP4K4,20.389576,1.3057227,2.0693193164257512e-92,5.24445025573754e-90,False
NLRP1,20.364378,1.2573217,3.462273999183174e-92,8.731719250489017e-90,False
NCOA1,20.362057,1.4847519,3.6301890735719206e-92,9.110534997908691e-90,False
CUL3,20.285744,1.3594427,1.7184129251830512e-91,4.291694571593088e-89,False
