gene,scores,log2FC,pvalue,padj,is_zinc
CCM2,9.368639,1.2244012,7.347409979261151e-21,1.3745801767746463e-18,False
KDM4C,9.364909,1.627776,7.611603251116036e-21,1.4188469712442673e-18,False
PHC3,9.358893,1.5412148,8.057630050445715e-21,1.4965666095138308e-18,False
IQGAP2,9.354986,1.2424303,8.361063371074124e-21,1.5448962454468305e-18,False
TMEM131L,9.3547735,2.143326,8.377897148181965e-21,1.5448962454468305e-18,False
MED13L,9.341919,1.6777844,9.460407752619471e-21,1.732096292016963e-18,False
PPP3CC,9.33491,1.1498768,1.0107638313122226e-20,1.8440346664308944e-18,False
RERE,9.324173,1.5729895,1.1185232705202434e-20,2.0334199724991338e-18,False
ACTR2,9.311699,0.89042544,1.258035554286882e-20,2.2789934224278695e-18,False
ETV6,9.286485,1.9174639,1.5946752371330892e-20,2.878696547369234e-18,False
FOXO1,9.280966,1.9744576,1.6794936844240934e-20,3.021209478190586e-18,False
FYN,9.264399,0.9697185,1.961797977653951e-20,3.51674502976796e-18,False
SNHG29,9.257719,0.89393514,2.0884678411758763e-20,3.73081574627835e-18,False
VTI1A,9.252908,1.8723546,2.1846666129426927e-20,3.889160135040681e-18,False
PCED1B-AS1,9.25204,0.9536529,2.2024892911152137e-20,3.9073678982515694e-18,False
TTC17,9.238484,1.223215,2.5001249390772043e-20,4.420152160331409e-18,False
JMJD1C,9.233967,1.142458,2.6079152655742535e-20,4.594932348741924e-18,False
MAP3K5,9.18741,1.7289674,4.0241288533426386e-20,7.065985708080957e-18,False
SP110,9.185895,1.2565686,4.081183806722824e-20,7.141794030213465e-18,False
KHDRBS1,9.133846,1.1029427,6.610799723314746e-20,1.1529234717460916e-17,False
SOS1,9.131418,1.8725435,6.760749252478209e-20,1.1750913092618206e-17,False
DENND4A,9.12946,1.8606372,6.884139129442177e-20,1.192509057008556e-17,False
MYCBP2,9.121965,0.92283183,7.377395489779959e-20,1.2736652454973131e-17,False
TGFB1,9.117217,1.0409726,7.707819294885027e-20,1.326260491917207e-17,False
ANK3,9.093969,1.7257216,9.548739269524773e-20,1.637545126461702e-17,False
TAF15,9.0660095,1.2956733,1.2345573687878666e-19,2.096221369947134e-17,False
ITGA4,9.06539,0.8940753,1.2416008037304846e-19,2.1012459917870387e-17,False
GABARAP,9.033168,0.8521097,1.667730199625233e-19,2.813160108535049e-17,False
PVT1,9.013499,1.8067428,1.9958358519966395e-19,3.355613167108598e-17,False
FBXW7,9.012179,1.8121886,2.020011967600654e-19,3.385197905834477e-17,False
CBLB,9.011019,1.3160243,2.0415063778486054e-19,3.410111043102437e-17,False
CCND3,9.007511,0.72629994,2.1078654771988908e-19,3.509561911680535e-17,False
OGA,9.0024605,1.7409295,2.2071400465681753e-19,3.6629981005109515e-17,False
ERBIN,8.994602,2.0429485,2.3708861211935043e-19,3.922101259265704e-17,False
TNIK,8.990147,1.5032213,2.4690177877277705e-19,4.061939671890227e-17,False
HNRNPK,8.990048,0.6989561,2.47120804949005e-19,4.061939671890227e-17,False
DIPK1A,8.985141,2.204805,2.584036405645652e-19,4.2338695859126597e-17,False
COG5,8.982244,1.6974434,2.6530068548108505e-19,4.333076084644719e-17,False
LSP1,8.969893,0.6735567,2.9680112987757976e-19,4.832222952513204e-17,False
TGFBR2,8.9624605,1.2938983,3.1751275625849225e-19,5.15312185614729e-17,False
ARHGEF3,8.946841,1.3761352,3.6579951780463224e-19,5.918130060381358e-17,False
TAOK3,8.919518,0.88400394,4.683183192991871e-19,7.552990875017108e-17,False
CD96,8.897246,1.1241379,5.724937676423851e-19,9.1470991793992e-17,False
RNF149,8.881955,1.1224307,6.569547457880704e-19,1.0464089090187196e-16,False
FBXL17,8.873981,2.267053,7.057634451153326e-19,1.117234391516727e-16,False
LDLRAD4,8.840333,1.5711817,9.543346445441576e-19,1.5060922942487061e-16,False
ZC3HAV1,8.833742,0.9199463,1.0123107342483443e-18,1.5927022218840616e-16,False
MGAT5,8.819841,2.0732272,1.1462188835481354e-18,1.7978862536824533e-16,False
ARL15,8.819124,1.9477068,1.1535878729074499e-18,1.8039449509222638e-16,False
PDS5A,8.816094,1.528223,1.1852206481348693e-18,1.8477949062194773e-16,False
PUM2,8.80696,1.3786637,1.2858571208494349e-18,1.9986337508598709e-16,False
LCP1,8.804009,0.75255775,1.320130063797598e-18,2.045724443441531e-16,False
H4C3,8.798119,0.90255105,1.3912950949448545e-18,2.1495300313730593e-16,False
CAMK2D,8.768555,1.8607942,1.8097497101859937e-18,2.771071520525268e-16,False
NCOA2,8.727411,1.6582628,2.6056857834347065e-18,3.977962082675038e-16,False
GLG1,8.718277,0.99641335,2.824671896146038e-18,4.2922044515554007e-16,False
RAPGEF1,8.718135,1.4056894,2.828209666220807e-18,4.2922044515554007e-16,False
ATP5MJ,8.700983,1.1641296,3.2902035591041586e-18,4.96405843720794e-16,False
NMT1,8.678879,1.735043,3.9968812062328316e-18,6.012618254335285e-16,False
CDKAL1,8.677462,1.7320735,4.04699650320891e-18,6.0667690156315115e-16,False
USP34,8.677196,1.040788,4.056461944832141e-18,6.0667690156315115e-16,False
RBMX,8.65549,0.8400271,4.907973863440045e-18,7.31899824134097e-16,False
SNHG5,8.651566,1.5351808,5.079770521722164e-18,7.553295774611616e-16,False
BCAS3,8.633474,2.0018802,5.9515880241341475e-18,8.82412970218022e-16,False
STK38,8.601333,1.177007,7.879577067621834e-18,1.164909428089104e-15,False
DIAPH2,8.592518,2.0582223,8.50842263929748e-18,1.2542731459787299e-15,False
MBD5,8.566081,1.5410057,1.0706663631616e-17,1.5738183729125142e-15,False
MYO9B,8.543657,1.4953663,1.3003880890302333e-17,1.895251172929956e-15,False
ENSG00000289901,8.538475,0.8567001,1.3600483989324958e-17,1.976603673115227e-15,False
SP140,8.534966,1.473227,1.4019587084127258e-17,2.0317738487441665e-15,False
ATF7IP,8.534338,1.3306859,1.409606518957819e-17,2.0371189940264573e-15,False
HLA-DRA,8.521988,1.0845771,1.5683820668549568e-17,2.2602274671023476e-15,False
SIPA1L1,8.481952,1.7556822,2.2144723106604723e-17,3.182407023431843e-15,False
UVRAG,8.45758,1.416065,2.7298428815507272e-17,3.912115781894758e-15,False
BCL11B,8.456826,0.99925125,2.7475221588874078e-17,3.926514445289982e-15,False
SRSF9,8.454603,1.209184,2.800389944035698e-17,3.99098232245841e-15,False
SIPA1L3,8.453096,2.319621,2.836765580017883e-17,4.031655125987846e-15,False
PHACTR2,8.444672,1.4365735,3.04901951444203e-17,4.321376197768969e-15,False
KDM6A,8.4255705,2.395193,3.589968792540026e-17,5.07408556149998e-15,False
ELF1,8.425154,0.7639893,3.602758814673255e-17,5.07821193143314e-15,False
NFAT5,8.420849,1.6105407,3.737677153315302e-17,5.253989458572832e-15,False
VCP,8.417039,1.290677,3.861197214961286e-17,5.412830362815484e-15,False
PTPRA,8.415258,1.6586132,3.920308304636007e-17,5.480761458068296e-15,False
MICU2,8.409969,1.4897517,4.101190676070695e-17,5.718104550202849e-15,False
PRKCQ,8.409517,1.3502787,4.117019279154182e-17,5.7246596722682254e-15,False
NIPBL,8.408206,1.0297791,4.163295237798869e-17,5.7734019782823776e-15,False
RAD51B,8.402252,2.0579252,4.3799497462474924e-17,6.057517595294113e-15,False
CRLF3,8.397035,1.1556356,4.578965254598878e-17,6.315780279319117e-15,False
SEL1L3,8.387909,1.595654,4.948648548186636e-17,6.789281880189495e-15,False
PARP8,8.381079,1.0626563,5.2444940535599465e-17,7.176030054988088e-15,False
PTPRCAP,8.3729105,1.3088189,5.62125211362182e-17,7.671145324711283e-15,False
RAPGEF6,8.372494,1.3765432,5.641156933998085e-17,7.677942908474431e-15,False
MBP,8.367895,0.81327754,5.865632663118832e-17,7.962402882642155e-15,False
CDC14A,8.36413,1.4359032,6.055994233361747e-17,8.177658564776775e-15,False
TRAPPC9,8.354908,1.9042549,6.548390581067222e-17,8.819413576302264e-15,False
MIR142HG,8.345995,1.5883029,7.061673640783405e-17,9.485874294282628e-15,False
HCLS1,8.344657,0.77595204,7.142067035326472e-17,9.568881896705112e-15,False
EIF4G2,8.34254,0.81087154,7.271160828940497e-17,9.71653720330729e-15,False
PCNX1,8.339971,1.582393,7.430895094804632e-17,9.904266602007997e-15,False
BANK1,8.329242,2.531151,8.136165153642646e-17,1.0816264207354181e-14,False
BRAF,8.325371,1.970967,8.4065493642154e-17,1.1146911126034894e-14,False
NCOA1,8.31877,1.6231595,8.888076981893736e-17,1.1724968834986383e-14,False
ITPR2,8.317397,1.5899739,8.991627122475891e-17,1.1831233560029147e-14,False
MS4A1,8.314181,1.1098977,9.238813259125528e-17,1.212547103457883e-14,False
CUL3,8.283873,1.5686991,1.1923295127295701e-16,1.5569281413936784e-14,False
RAP1GDS1,8.28133,1.4590385,1.218069701720253e-16,1.5865126585849006e-14,False
ATP5ME,8.280409,0.8614656,1.2275317655188735e-16,1.5947993503135103e-14,False
CAMKMT,8.279674,1.9704199,1.2351351884182306e-16,1.600635646693731e-14,False
SLC38A1,8.267776,0.9204674,1.3648189153348457e-16,1.7642513456318376e-14,False
CASK,8.254123,1.221771,1.5302188183508554e-16,1.96816744416287e-14,False
GNAS,8.249135,0.8285284,1.5954511962660498e-16,2.0469519487654795e-14,False
MT-CO2,8.222158,0.3026781,1.9987354135485299e-16,2.5516362172765448e-14,False
CEMIP2,8.205396,1.939851,2.298320330141329e-16,2.926831295671067e-14,False
STK10,8.1971035,0.9406111,2.4624821880069943e-16,3.128142805150219e-14,False
KAT6A,8.188953,1.2544385,2.6350857519626546e-16,3.3391598957382925e-14,False
EPS15,8.182477,1.2747793,2.7806856065043816e-16,3.513876299420691e-14,False
PIP4K2A,8.1822195,0.9517948,2.786622473494873e-16,3.513876299420691e-14,False
MACF1,8.166645,0.9037908,3.1708450815822795e-16,3.988597500177142e-14,False
ITFG1,8.153737,1.3549801,3.528486166681919e-16,4.416874849232393e-14,False
TLE5,8.147438,0.7999005,3.71716412742497e-16,4.641763592906792e-14,False
TMBIM6,8.141094,0.6515377,3.917211110537634e-16,4.879725840555452e-14,False
AKT3,8.12474,1.6042957,4.483230945518129e-16,5.57133491992794e-14,False
MATR3,8.108819,1.5240334,5.111394196043153e-16,6.321418475914139e-14,False
RAB7A,8.101679,0.9048881,5.420593688636795e-16,6.687738707265848e-14,False
EML4,8.092598,0.7758643,5.840546520813736e-16,7.188622904373805e-14,False
ITSN2,8.070928,0.8582642,6.976604549048798e-16,8.546008353320537e-14,False
UBC,8.069484,0.55322504,7.059613063605412e-16,8.627148999913806e-14,False
GATAD2B,8.061962,1.6113337,7.507959049120229e-16,9.131666126693558e-14,False
PLCL2,8.057054,1.6188282,7.815525808004911e-16,9.483329522882939e-14,False
WNK1,8.045032,1.0429034,8.622320003813002e-16,1.0437673401321678e-13,False
ZNF609,8.039503,1.8762119,9.020337355027102e-16,1.0893857188766065e-13,False
ABI1,8.027481,1.3212442,9.949434126591163e-16,1.195977773235659e-13,False
H2AZ2,8.0182495,1.2191749,1.072627485898015e-15,1.286352887983242e-13,False
PPP1R12A,8.003002,0.9326659,1.2142152788679157e-15,1.4527662248185237e-13,False
KMT2E,8.001922,0.5496807,1.2249237656857182e-15,1.46217814146169e-13,False
ATP2B1,7.9876847,0.94634634,1.3749678974913406e-15,1.6374849164382986e-13,False
ANXA6,7.983724,0.884225,1.4198291191140664e-15,1.68700620138985e-13,False
CCNH,7.9744487,1.2033235,1.5306273077477322e-15,1.814463449977081e-13,False
MT-ND6,7.9663334,1.0426916,1.6345174534980335e-15,1.9287305951276797e-13,False
CMPK1,7.941624,1.2171189,1.9955051870219484e-15,2.3493078000435974e-13,False
SELENOF,7.9360604,1.3857536,2.087040224124774e-15,2.451462224903456e-13,False
MAP2K1,7.928796,1.3733437,2.2128087476781595e-15,2.593270716413347e-13,False
USP3,7.9231615,1.1785648,2.3154688566202086e-15,2.707414584895375e-13,False
ERC1,7.9186254,1.5925469,2.4015089991133997e-15,2.801651586992884e-13,False
TMEM165,7.8995953,1.2405375,2.7981058302094493e-15,3.2495925226324096e-13,False
DNM2,7.8787847,1.471171,3.305812229952384e-15,3.8305726938421223e-13,False
RASA2,7.877987,1.1641147,3.3269707317686218e-15,3.846426746247911e-13,False
PCBP1,7.8676305,0.6744341,3.6142139382626436e-15,4.1691497465411767e-13,False
TOX,7.8584876,2.2945304,3.887995166305789e-15,4.4749345708299826e-13,False
NR3C1,7.8380046,0.91135055,4.577625891883467e-15,5.256912876911175e-13,False
ARIH1,7.8285074,1.6031736,4.9369666777425294e-15,5.656950147806184e-13,False
WIPF1,7.825504,0.7176896,5.056276855416344e-15,5.780785147943557e-13,False
HERC4,7.8127904,1.1760225,5.593549207831389e-15,6.380862963292888e-13,False
