gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
DUSP2,8,18,0.27799195,0.3661071,0.12712329815103166,0.50491226,0.7194999665021897,False,
PPBP,8,18,0.1415252,0.19865,0.0824136778346621,0.5226107,0.7355262041091919,False,
MT-ND3,8,18,3.6066656,3.5069366,-0.14387862192001535,0.567283,0.7791597484106041,False,
PGRMC1,8,18,0.09888078,0.08761284,-0.01625620861834847,0.567283,0.7791597484106041,False,
TRDC,8,18,0.20109408,0.18091895,-0.029106558810335314,0.5974029,0.7926526604027583,False,
MT1X,8,18,0.25767654,0.21632197,-0.05966202845852707,0.60491914,0.7926526604027583,True,0.8310291866461437
STMN1,8,18,0.3311396,0.27351925,-0.08312858821646744,0.60491914,0.7926526604027583,False,
IRF7,8,18,0.34232616,0.310752,-0.0455518838511388,0.60491914,0.7926526604027583,False,
HOPX,8,18,0.45769,0.43105677,-0.03842363292950254,0.64356273,0.8243387830391359,False,
CD74,8,18,2.7639961,2.6426768,-0.17502674378308036,0.64356273,0.8243387830391359,False,
IGHG1,8,18,0.2348553,0.2004581,-0.04962466949971504,0.68317807,0.8465467354525691,False,
MT1E,8,18,0.09133135,0.074048795,-0.024933453531727656,0.67671365,0.8465467354525691,True,0.8310291866461437
MYOM2,8,18,0.093958996,0.09869698,0.006835461207458008,0.67587507,0.8465467354525691,False,
FCRL6,8,18,0.11335135,0.12712675,0.019873702445512467,0.7178316,0.8705617417680456,False,
SLC30A1,8,18,0.020881224,0.016783437,-0.005911857940517412,0.71231073,0.8705617417680456,True,0.8310291866461437
ITM2C,8,18,0.3934442,0.3472854,-0.06659310127094913,0.764841,0.8988853226002959,False,
MT-CYB,8,18,3.5601268,3.587823,0.03995707324025806,0.764841,0.8988853226002959,False,
S1PR5,8,18,0.096092336,0.09901254,0.004212962257945113,0.7591436,0.8988853226002959,False,
CTSW,8,18,0.70763874,0.68264204,-0.03606261210279519,0.84908867,0.9243227232586254,False,
IGKC,8,18,1.1849731,0.73719907,-0.6460014051535327,0.89189035,0.9243227232586254,False,
KLRD1,8,18,0.30757618,0.33186415,0.03504013224775308,0.8458019,0.9243227232586254,False,
MT-ND4L,8,18,1.7814258,2.3803496,0.8640643995579188,0.89189035,0.9243227232586254,False,
CCL5,8,18,1.1439703,1.182709,0.055888170154981744,0.8066826,0.9243227232586254,False,
CD8B,8,18,0.37372148,0.38078898,0.010196249430377904,0.84908867,0.9243227232586254,False,
CD8A,8,18,0.36589032,0.41562405,0.07175060299634846,0.84908867,0.9243227232586254,False,
SPON2,8,18,0.18278928,0.1992563,0.023756887970428145,0.8458019,0.9243227232586254,False,
NKG7,8,18,0.98672116,0.9666369,-0.028975465034715136,0.89189035,0.9243227232586254,False,
GZMK,8,18,0.57243145,0.5051765,-0.0970283980418505,0.89189035,0.9243227232586254,False,
CST7,8,18,0.59700185,0.6440537,0.06788146630422513,0.8066826,0.9243227232586254,False,
GZMA,8,18,0.71501994,0.7289477,0.020093507022230814,0.89189035,0.9243227232586254,False,
HLA-DRA,8,18,1.645955,1.420738,-0.32491942702111726,0.89189035,0.9243227232586254,False,
CCL4,8,18,0.23096284,0.19901977,-0.04608410566206512,0.93357515,0.9517191212092128,False,
GNLY,8,18,0.7378409,0.7391521,0.0018916371768400323,0.9350223,0.9517191212092128,False,
MT2A,8,18,0.59217244,0.53662944,-0.08013161854253213,1.0,1.0,True,1.0
SLC39A6,8,18,0.08037721,0.092706606,0.0177875528905466,1.0,1.0,True,1.0
